net_dim,agents,iters,threshold-mean,threshold-var,active
50,2017,200,0.21,0.1,126
50,1985,200,0.21,0.1,107
50,1989,200,0.21,0.1,16
50,1983,200,0.21,0.1,94
50,1991,200,0.21,0.1,66
50,1999,200,0.21,0.1,120
50,2021,200,0.21,0.1,43
50,2008,200,0.21,0.1,106
50,1988,200,0.21,0.1,182
50,1998,200,0.21,0.1,238
50,1995,200,0.21,0.1,136
50,2033,200,0.21,0.1,170
50,1999,200,0.21,0.1,86
50,2005,200,0.21,0.1,96
50,1993,200,0.21,0.1,190
50,2013,200,0.21,0.1,255
50,2056,200,0.23,0.1,116
50,2003,200,0.23,0.1,68
50,2004,200,0.23,0.1,49
50,2028,200,0.23,0.1,63
50,1992,200,0.23,0.1,95
50,2046,200,0.23,0.1,51
50,2000,200,0.23,0.1,56
50,1992,200,0.23,0.1,48
50,2010,200,0.23,0.1,107
50,1969,200,0.23,0.1,105
50,1974,200,0.23,0.1,18
50,1986,200,0.23,0.1,46
50,2017,200,0.23,0.1,41
50,1992,200,0.23,0.1,33
50,1990,200,0.23,0.1,65
50,1996,200,0.23,0.1,29
50,2023,200,0.23,0.1,42
50,1991,200,0.23,0.1,45
50,2005,200,0.23,0.1,94
50,1983,200,0.23,0.1,56
50,1990,200,0.23,0.1,59
50,2006,200,0.23,0.1,52
50,2000,200,0.23,0.1,65
50,1992,200,0.23,0.1,68
50,2048,200,0.23,0.1,64
50,1982,200,0.23,0.1,72
50,2000,200,0.23,0.1,32
50,2023,200,0.23,0.1,36
50,1978,200,0.23,0.1,77
50,1999,200,0.23,0.1,90
50,2017,200,0.25,0.1,44
50,2003,200,0.25,0.1,23
50,2024,200,0.25,0.1,26
50,2017,200,0.25,0.1,41
50,1978,200,0.25,0.1,43
50,2022,200,0.25,0.1,44
50,1985,200,0.25,0.1,42
50,2027,200,0.25,0.1,27
50,1997,200,0.25,0.1,24
50,1994,200,0.25,0.1,54
50,1982,200,0.25,0.1,45
50,1979,200,0.25,0.1,38
50,1972,200,0.25,0.1,27
50,1989,200,0.25,0.1,52
50,1967,200,0.25,0.1,36
50,1998,200,0.25,0.1,35
50,2005,200,0.25,0.1,12
50,2001,200,0.25,0.1,22
50,2009,200,0.25,0.1,16
50,2005,200,0.25,0.1,44
50,2016,200,0.25,0.1,50
50,1982,200,0.25,0.1,40
50,2028,200,0.25,0.1,35
50,1976,200,0.25,0.1,46
50,2024,200,0.25,0.1,15
50,1973,200,0.25,0.1,45
50,2015,200,0.25,0.1,52
50,2006,200,0.25,0.1,29
50,1969,200,0.25,0.1,31
50,1977,200,0.25,0.1,44
50,2001,200,0.3,0.1,14
50,2004,200,0.3,0.1,11
50,2035,200,0.3,0.1,13
50,2000,200,0.3,0.1,12
50,2023,200,0.3,0.1,16
50,2039,200,0.3,0.1,15
50,1968,200,0.3,0.1,12
50,2003,200,0.3,0.1,23
50,2009,200,0.3,0.1,14
50,1999,200,0.3,0.1,12
50,2007,200,0.3,0.1,15
50,2025,200,0.3,0.1,17
50,2039,200,0.3,0.1,12
50,1991,200,0.3,0.1,11
50,2046,200,0.3,0.1,16
50,1998,200,0.3,0.1,13
50,1985,200,0.3,0.1,11
50,2006,200,0.3,0.1,16
50,1992,200,0.3,0.1,15
50,1994,200,0.3,0.1,18
50,2031,200,0.3,0.1,34
50,2018,200,0.3,0.1,11
50,2023,200,0.3,0.1,11
50,2014,200,0.3,0.1,25
50,1962,200,0.3,0.1,16
50,1993,200,0.3,0.1,33
50,2012,200,0.3,0.1,29
50,2018,200,0.3,0.1,13
50,2012,200,0.3,0.1,13
50,2021,200,0.3,0.1,30
